order_id;order_number;client_user_id;pickup_point_id;order_date;delivery_date;pickup_code;status
1;1;3;1;2026-02-10;2026-02-14;901;completed
2;2;3;2;2026-02-12;2026-02-16;902;completed
3;3;3;21;2026-02-15;2026-02-19;903;completed
4;4;3;22;2026-02-18;2026-02-22;904;completed
5;5;3;3;2026-02-20;2026-02-24;905;completed
6;6;3;25;2026-02-23;2026-02-27;906;completed
7;7;3;7;2026-03-01;2026-03-05;907;completed
8;8;3;27;2026-03-03;2026-03-07;908;new
9;9;3;29;2026-03-06;2026-03-10;909;new
10;10;3;33;2026-03-08;2026-03-12;910;new
