pickup_point_id;address
1;630001, Россия, г. Новосибирск, ул. Красный проспект, 18
2;630004, Россия, г. Новосибирск, ул. Ленина, 42
3;630005, Россия, г. Новосибирск, ул. Советская, 64
4;630099, Россия, г. Новосибирск, ул. Кирова, 27
5;630007, Россия, г. Новосибирск, ул. Октябрьская, 34
6;630078, Россия, г. Новосибирск, ул. Титова, 18
7;630048, Россия, г. Новосибирск, ул. Немировича-Данченко, 145
8;630090, Россия, г. Новосибирск, ул. Терешковой, 12
9;630091, Россия, г. Новосибирск, ул. Романова, 39
10;630075, Россия, г. Новосибирск, ул. Богдана Хмельницкого, 47
11;630132, Россия, г. Новосибирск, ул. Челюскинцев, 36
12;630102, Россия, г. Новосибирск, ул. Кирова, 110
13;630017, Россия, г. Новосибирск, ул. Военная, 9
14;630112, Россия, г. Новосибирск, ул. Фрунзе, 86
15;630099, Россия, г. Новосибирск, ул. Коммунистическая, 40
16;630049, Россия, г. Новосибирск, ул. Дуси Ковальчук, 77
17;630124, Россия, г. Новосибирск, ул. Есенина, 14
18;630133, Россия, г. Новосибирск, ул. Гоголя, 204
19;630082, Россия, г. Новосибирск, ул. Жуковского, 96
20;630052, Россия, г. Новосибирск, ул. Станционная, 31
21;050000, Казахстан, г. Алматы, ул. Абая, 44
22;050012, Казахстан, г. Алматы, просп. Назарбаева, 121
23;010000, Казахстан, г. Астана, ул. Кунаева, 10
24;010008, Казахстан, г. Астана, просп. Республики, 25
25;220004, Беларусь, г. Минск, ул. Немига, 12
26;220030, Беларусь, г. Минск, просп. Независимости, 18
27;720000, Кыргызстан, г. Бишкек, ул. Киевская, 95
28;720021, Кыргызстан, г. Ош, ул. Курманжан Датка, 43
29;100011, Узбекистан, г. Ташкент, ул. Шота Руставели, 59
30;100084, Узбекистан, г. Ташкент, просп. Амира Темура, 107
31;734000, Таджикистан, г. Душанбе, просп. Рудаки, 33
32;734025, Таджикистан, г. Душанбе, ул. Айни, 17
33;0010, Армения, г. Ереван, ул. Абовяна, 15
34;0015, Армения, г. Ереван, ул. Маштоца, 28
35;AZ1000, Азербайджан, г. Баку, ул. Истиглалият, 27
36;AZ1001, Азербайджан, г. Баку, просп. Нефтяников, 62
