product_id;article;name;artist;genre;label;manufacturer;supplier;format;unit;price;stock_quantity;discount;description;image_path;is_new;is_bestseller;is_staff_pick;is_preorder;is_color_vinyl
1;VNL001;Graduation;Kanye West;Хип-хоп;Roc-A-Fella;Пресс-Лаб;Аналог Дистрибуция;1LP;шт.;3490;6;0;Студийный альбом Kanye West 2007 года.;https://i.ebayimg.com/images/g/Yc0AAeSwGgVp2gbi/s-l1200.jpg;1;1;1;0;0
2;VNL002;The College Dropout;Kanye West;Хип-хоп;Roc-A-Fella;Пресс-Лаб;Винил Маркет;2LP;шт.;3990;4;5;Дебютный студийный альбом Kanye West.;https://shop.parlour-fam.com/cdn/shop/files/0003922_1_bdb46c36-5579-4f8c-a6e4-358e4189984e.jpg?v=1733740555;0;1;0;0;0
3;VNL003;My Beautiful Dark Twisted Fantasy;Kanye West;Хип-хоп;Def Jam;Пресс-Лаб;Аналог Дистрибуция;1LP;шт.;4590;5;0;Студийный альбом Kanye West 2010 года.;https://vinilo.co.uk/cdn/shop/files/Kanye-West-My-Beautiful-Dark-Twisted-Fantasy-CD_530x%402x.jpg?v=1773596108;0;1;1;0;0
4;VNL004;Late Registration;Kanye West;Хип-хоп;Roc-A-Fella;Пресс-Лаб;Винил Маркет;1LP;шт.;3290;8;10;Второй студийный альбом Kanye West 2005 года.;https://levyikkuna.fi/tiedostot/119/kuva/tuote/600/9421.jpg;0;0;1;0;0
5;VNL005;Unknown Memory;Yung Lean;Хип-хоп;YEAR0001;Норд Пресс;Точка Винил;2LP;шт.;3790;3;0;Дебютный полноформатный альбом Yung Lean 2014 года.;https://vinyl-galore.de/at-get-img/391657/1/unknown-memory-limited-edition-magenta-vinyl-yung-lean-lp.jpg;0;1;0;0;1
6;VNL006;Stranger;Yung Lean;Хип-хоп;YEAR0001;Норд Пресс;Аналог Дистрибуция;1LP;шт.;3690;0;7;Третий студийный альбом Yung Lean 2017 года.;https://townsquare.media/site/812/files/2017/11/Yung-Lean-Stranger-Album-Cover-Full.jpeg?q=75&w=1080;1;1;0;1;0
7;VNL007;Fantasma;Cornelius;Электроника;Warner Music Japan;Студия Пресс;Токио Винил;1LP;шт.;4290;7;0;Альбом Cornelius 1997 года.;https://i.ebayimg.com/images/g/7BsAAOSwnB9kl63O/s-l1200.jpg;0;1;1;0;0
8;VNL008;Point;Cornelius;Электроника;Matador;Студия Пресс;Токио Винил;1LP;шт.;3990;9;8;Альбом Cornelius 2002 года.;https://i.pinimg.com/736x/40/85/b3/4085b3251c62e2f63d1ffa7ef6f7e9f2.jpg;0;0;1;0;0
9;VNL009;Sensuous;Cornelius;Электроника;Everloving;Студия Пресс;Норд Дистрибуция;1LP;шт.;3890;5;0;Альбом Cornelius 2006 года.;https://shop.r10s.jp/book/cabinet/8396/4943674298396.jpg;0;0;1;0;1
10;VNL010;Mellow Waves;Cornelius;Электроника;Rostrum;Студия Пресс;Норд Дистрибуция;1LP;шт.;4090;11;12;Альбом Cornelius 2017 года.;https://i.scdn.co/image/ab67616d0000b2739bb81ababd28277b4c7855d4;1;0;0;0;1
11;VNL011;the book about my idle plot on a vague anxiety;toe;Пост-рок;Machupicchu Industrias;Аналог Пресс;Точка Винил;1LP;шт.;3590;4;0;Дебютный полноформатный релиз toe 2005 года.;https://assets.st-note.com/production/uploads/images/26327713/picture_pc_bfcd6ae54ebc6ef5f10b363602feae7c.jpg;0;1;1;0;0
12;VNL012;For Long Tomorrow;toe;Пост-рок;Machupicchu Industrias;Аналог Пресс;Точка Винил;1LP;шт.;3890;6;5;Второй полноформатный альбом toe 2009 года.;https://us.rarevinyl.com/cdn/shop/files/toe-for-long-tomorrow-opaque-blue-vinyl-us-vinyl-lp-album-record-tsr086-873970_1000x993.jpg?v=1757174616;0;0;1;0;0
13;VNL013;HEAR YOU;toe;Пост-рок;Machupicchu Industrias;Аналог Пресс;Винил Маркет;1LP;шт.;3790;2;9;Альбом toe 2015 года.;https://topshelf-records.com/cdn/shop/files/136_1500_300.jpg?v=1684816094&width=1445;1;0;0;0;1
14;VNL014;Pink;Boris;Рок;Southern Lord;Heavy Press;Винил Маркет;1LP;шт.;4290;8;0;Альбом Boris, выпущенный в 2005 году.;https://i.scdn.co/image/ab67616d0000b273728c73f734bfe4c9204304d;0;1;1;0;0
